ID,Resource Name,URL,Primary Category,Subcategory,Target Age/Level,Main Language(s),Access Type,Best For,Keywords,Notes
220,Oxford Owl Free eBooks,https://www.oxfordowl.co.uk/,Children & Young Readers,Children's ebooks,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children books, early reading, phonics, parents, ebooks",Some platforms have limited free collections.
221,StoryWeaver,https://storyweaver.org.in/,Children & Young Readers,Multilingual storybooks,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children stories, multilingual, picture books, literacy",Some platforms have limited free collections.
222,International Children's Digital Library,http://www.childrenslibrary.org/,Children & Young Readers,Children's digital library,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children books, global stories, multilingual, picture books",Some platforms have limited free collections.
223,Unite for Literacy,https://www.uniteforliteracy.com/,Children & Young Readers,Picture books with audio,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","picture books, audio, early literacy, kids",Some platforms have limited free collections.
224,Storynory,https://www.storynory.com/,Children & Young Readers,Audio stories,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids stories, fairy tales, audio, listening, reading",Some platforms have limited free collections.
225,MagicBlox,https://magicblox.com/,Children & Young Readers,Children's ebooks,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children ebooks, picture books, reading, read aloud",Some platforms have limited free collections.
226,Free Kids Books,https://freekidsbooks.org/,Children & Young Readers,Free children's books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children books, picture books, early readers, free PDFs",Some platforms have limited free collections.
227,Monkey Pen Free Children's Books,https://monkeypen.com/pages/free-childrens-books,Children & Young Readers,Children's books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children books, picture books, early reading, PDF",Some platforms have limited free collections.
228,Starfall,https://www.starfall.com/,Children & Young Readers,Early literacy,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","phonics, early reading, kindergarten, literacy",Some platforms have limited free collections.
229,Reading Rockets,https://www.readingrockets.org/,Children & Young Readers,Reading support,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","reading support, literacy, parents, dyslexia, comprehension",Some platforms have limited free collections.
230,Global Digital Library,https://digitallibrary.io/,Children & Young Readers,Early-grade books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","early literacy, multilingual, children books, global",Some platforms have limited free collections.
231,Let's Read Asia,https://www.letsreadasia.org/,Children & Young Readers,Asian children's books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","Asian stories, children books, multilingual, literacy",Some platforms have limited free collections.
232,Worldreader,https://www.worldreader.org/,Children & Young Readers,Reading platform,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","global reading, literacy, children, books",Some platforms have limited free collections.
233,Book Dash,https://bookdash.org/books/,Children & Young Readers,Open children's books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","picture books, open license, children, literacy",Some platforms have limited free collections.
234,African Storybook,https://www.africanstorybook.org/,Children & Young Readers,African children's stories,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","African stories, children books, multilingual, literacy",Some platforms have limited free collections.
235,Room to Read Literacy Cloud,https://literacycloud.org/,Children & Young Readers,Children's books and literacy,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","literacy, children books, global, multilingual",Some platforms have limited free collections.
236,Storyline Online,https://storylineonline.net/,Children & Young Readers,Read-aloud videos,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","read aloud, children books, video, storytelling",Some platforms have limited free collections.
237,Storyberries,https://www.storyberries.com/,Children & Young Readers,Children's stories,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children stories, bedtime stories, fairy tales, poems",Some platforms have limited free collections.
238,Highlights Kids,https://kids.highlights.com/,Children & Young Readers,Kids articles and activities,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids articles, stories, activities, reading",Some platforms have limited free collections.
239,National Geographic Little Kids,https://kids.nationalgeographic.com/little-kids,Children & Young Readers,Young kids science,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","animals, science, facts, young readers",Some platforms have limited free collections.
240,NASA Kids' Club,https://www.nasa.gov/kidsclub/,Children & Young Readers,Space learning,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","NASA, space, kids, science, activities",Some platforms have limited free collections.
241,Funbrain Reading,https://www.funbrain.com/books,Children & Young Readers,Online books and comics,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids books, comics, reading, games",Some platforms have limited free collections.
242,Read.gov Classic Books,https://www.read.gov/books/,Children & Young Readers,Classic books online,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","classic books, kids, public domain, reading",Some platforms have limited free collections.
243,Children's Books Online,https://www.childrensbooksonline.org/,Children & Young Readers,Antique children's books,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","children books, public domain, antique books, illustrations",Some platforms have limited free collections.
244,Ask Dr. Universe,https://askdruniverse.wsu.edu/,Children & Young Readers,Science Q&A for kids,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","science, kids, questions, STEM, curiosity",Some platforms have limited free collections.
245,Wonderopolis,https://wonderopolis.org/,Children & Young Readers,Curiosity articles,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids articles, curiosity, science, vocabulary, reading",Some platforms have limited free collections.
246,Ducksters,https://www.ducksters.com/,Children & Young Readers,Student reference articles,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids, history, science, geography, biographies",Some platforms have limited free collections.
247,MrNussbaum,https://mrnussbaum.com/,Children & Young Readers,Educational articles and activities,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids, education, reading, social studies, games",Some platforms have limited free collections.
248,DK Find Out,https://www.dkfindout.com/,Children & Young Readers,Kids encyclopedia,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids encyclopedia, science, history, facts, visual learning",Some platforms have limited free collections.
249,Fact Monster,https://www.factmonster.com/,Children & Young Readers,Kids reference,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids reference, homework, facts, encyclopedia",Some platforms have limited free collections.
250,Cool Kid Facts,https://www.coolkidfacts.com/,Children & Young Readers,Kids facts articles,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","kids facts, science, geography, history, animals",Some platforms have limited free collections.
251,San Diego Zoo Wildlife Explorers,https://sdzwildlifeexplorers.org/,Children & Young Readers,Animal articles,"Kids, parents, educators",English and multilingual,Free / open access / free account optional,"Children's books, early literacy, read-alouds","animals, wildlife, conservation, kids, science",Some platforms have limited free collections.
252,LibriVox,https://librivox.org/,Audiobooks,Public-domain audiobooks,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, classics, public domain, listening, literature",Catalog and regional availability can vary.
253,Loyal Books,https://www.loyalbooks.com/,Audiobooks,Public-domain audiobooks and ebooks,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, ebooks, classics, public domain, MP3",Catalog and regional availability can vary.
254,Lit2Go,https://etc.usf.edu/lit2go/,Audiobooks,Educational audiobooks,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, literature, poetry, students, reading aloud",Catalog and regional availability can vary.
255,Open Culture Free Audiobooks,https://www.openculture.com/freeaudiobooks,Audiobooks,Curated audiobook links,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, classics, education, literature",Catalog and regional availability can vary.
256,Digitalbook.io,https://www.digitalbook.io/,Audiobooks,Audiobook and ebook discovery,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, ebooks, public domain, classics",Catalog and regional availability can vary.
257,Internet Archive Audio,https://archive.org/details/audio,Audiobooks,Audio archive,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audio archive, audiobooks, recordings, public domain",Catalog and regional availability can vary.
258,Project Gutenberg Audiobooks,https://www.gutenberg.org/browse/categories/1,Audiobooks,Public-domain audio,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, public domain, classics, MP3",Catalog and regional availability can vary.
259,LearnOutLoud Free Audiobooks,https://www.learnoutloud.com/Free-Audiobooks,Audiobooks,Audiobook directory,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, lectures, learning, audio, education",Catalog and regional availability can vary.
260,Scribl,https://scribl.com/,Audiobooks,Indie audiobooks and ebooks,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, ebooks, indie authors, fiction",Catalog and regional availability can vary.
261,Audio Literature Odyssey,https://nikolledoolin.com/alo/,Audiobooks,Classic literature audio,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, literature, classics, poetry",Catalog and regional availability can vary.
262,BBC Sounds Drama,https://www.bbc.co.uk/sounds/category/drama,Audiobooks,Audio drama,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audio drama, literature, stories, listening",Catalog and regional availability can vary.
263,Spotify Search,https://open.spotify.com/,Audiobooks,Audio platform,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","audiobooks, listening, public domain, playlists",Catalog and regional availability can vary.
264,Light Up Your Brain Stories,https://lightupyourbrain.com/stories/,Audiobooks,Children's audio stories,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","kids audio, stories, listening, bedtime stories",Catalog and regional availability can vary.
265,ESL Bits Audiobooks,https://esl-bits.net/,Audiobooks,ESL audio reading,"Kids, teens, adults","Mostly English, some multilingual",Free / public domain / free with ads / limited free tier,"Audiobooks, audio stories, listening practice","ESL, audiobooks, listening, reading, stories",Catalog and regional availability can vary.
266,British Council LearnEnglish Reading,https://learnenglish.britishcouncil.org/free-resources/reading,English Practice & ESL,Reading practice,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","English reading, ESL, vocabulary, comprehension, CEFR",Good for language learners and reading practice.
267,British Council LearnEnglish Teens,https://learnenglishteens.britishcouncil.org/,English Practice & ESL,Teen English learning,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, teens, English, grammar, reading, listening",Good for language learners and reading practice.
268,British Council LearnEnglish Kids,https://learnenglishkids.britishcouncil.org/,English Practice & ESL,Kids English learning,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","English kids, ESL, stories, vocabulary, grammar",Good for language learners and reading practice.
269,British Council Magazine Zone,https://learnenglish.britishcouncil.org/free-resources/general/magazine-zone,English Practice & ESL,Magazine-style articles,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","English articles, ESL, vocabulary, reading practice",Good for language learners and reading practice.
270,VOA Learning English,https://learningenglish.voanews.com/,English Practice & ESL,Slow English news,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","VOA, slow English, news, vocabulary, listening",Good for language learners and reading practice.
271,BBC Learning English,https://www.bbc.co.uk/learningenglish,English Practice & ESL,English learning lessons,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","BBC, English learning, grammar, vocabulary, pronunciation",Good for language learners and reading practice.
272,ESL Fast,https://www.eslfast.com/,English Practice & ESL,Short stories and dialogues,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, short stories, dialogues, beginner English",Good for language learners and reading practice.
273,EnglishClub Reading,https://www.englishclub.com/reading/,English Practice & ESL,English reading lessons,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, English reading, vocabulary, grammar",Good for language learners and reading practice.
274,UsingEnglish Reading Comprehension,https://www.usingenglish.com/comprehension/,English Practice & ESL,Reading exercises,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, comprehension, reading exercises, vocabulary",Good for language learners and reading practice.
275,AgendaWeb Reading Exercises,https://agendaweb.org/reading-exercises.html,English Practice & ESL,Reading exercise directory,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, reading exercises, grammar, vocabulary",Good for language learners and reading practice.
276,5 Minute English,https://www.5minuteenglish.com/,English Practice & ESL,Short English lessons,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","English lessons, ESL, quick study, reading",Good for language learners and reading practice.
277,Linguapress,https://linguapress.com/,English Practice & ESL,Graded English reading,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","graded reading, ESL, English, comprehension, vocabulary",Good for language learners and reading practice.
278,ManyThings,https://www.manythings.org/,English Practice & ESL,ESL exercises and reading,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, vocabulary, reading, listening, games",Good for language learners and reading practice.
279,ELLLO,https://elllo.org/,English Practice & ESL,Listening and transcripts,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, listening, transcripts, vocabulary, conversations",Good for language learners and reading practice.
280,Randall's ESL Cyber Listening Lab,https://www.esl-lab.com/,English Practice & ESL,Listening and reading support,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESL, listening, scripts, comprehension, vocabulary",Good for language learners and reading practice.
281,USA Learns,https://www.usalearns.org/,English Practice & ESL,English courses,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","adult ESL, English course, reading, listening, vocabulary",Good for language learners and reading practice.
282,Simple English Wikipedia,https://simple.wikipedia.org/,English Practice & ESL,Simplified encyclopedia,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","simple English, encyclopedia, vocabulary, ESL, general knowledge",Good for language learners and reading practice.
283,Learn American English Online,https://www.learnamericanenglishonline.com/,English Practice & ESL,English lessons,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","American English, ESL, grammar, beginner English",Good for language learners and reading practice.
284,Perfect English Grammar,https://www.perfect-english-grammar.com/,English Practice & ESL,Grammar practice,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","grammar, ESL, English practice, exercises",Good for language learners and reading practice.
285,ESOL Courses,https://www.esolcourses.com/,English Practice & ESL,English practice activities,"ESL learners, kids, teens, adults",English,Free / free account / limited free tier,"English reading, vocabulary, grammar, comprehension","ESOL, ESL, quizzes, reading, vocabulary",Good for language learners and reading practice.
286,NHK News Web Easy,https://www3.nhk.or.jp/news/easy/,Language Learning,Japanese easy news,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, easy news, NHK, furigana, vocabulary, reading",Free access can vary by feature.
287,NHK World Easy Japanese,https://www.nhk.or.jp/lesson/en/,Language Learning,Japanese lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese basics, conversation, audio, grammar, NHK",Free access can vary by feature.
288,Tofugu Japanese Articles,https://www.tofugu.com/japanese/,Language Learning,Japanese learning articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, kanji, grammar, study tips, culture",Free access can vary by feature.
289,Tadoku Free Japanese Books,https://tadoku.org/japanese/en/free-books-en/,Language Learning,Japanese graded readers,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, graded readers, Tadoku, easy reading, stories",Free access can vary by feature.
290,Satori Reader,https://www.satorireader.com/,Language Learning,Japanese reading platform,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese stories, grammar notes, vocabulary, reading",Free access can vary by feature.
291,Watanoc,https://watanoc.com/,Language Learning,Easy Japanese articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, N5, N4, N3, easy articles, culture",Free access can vary by feature.
292,Hirogaru Nihongo,https://hirogaru-nihongo.jp/en/,Language Learning,Japanese culture articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, culture, articles, vocabulary, listening",Free access can vary by feature.
293,MATCHA Easy Japanese,https://matcha-jp.com/easy,Language Learning,Easy Japanese travel articles,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, travel, culture, easy Japanese, reading",Free access can vary by feature.
294,CosCom Japanese,https://www.coscom.co.jp/,Language Learning,Japanese reading and lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, reading, grammar, vocabulary, news",Free access can vary by feature.
295,Hukumusume Fairy Tales,http://hukumusume.com/douwa/,Language Learning,Japanese stories,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, fairy tales, children stories, reading",Free access can vary by feature.
296,Wasabi Japanese,https://www.wasabi-jpn.com/,Language Learning,Japanese grammar and reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese grammar, reading, lessons, vocabulary",Free access can vary by feature.
297,Erin's Challenge,https://www.erin.jpf.go.jp/,Language Learning,Japanese lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, video lessons, culture, beginner, Japan Foundation",Free access can vary by feature.
298,Marugoto Japanese Online Course,https://www.marugoto-online.jp/info/,Language Learning,Japanese course,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, course, grammar, vocabulary, culture, Japan Foundation",Free access can vary by feature.
299,Japanese IO,https://www.japanese.io/,Language Learning,Japanese reading support,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese, reading, dictionary, vocabulary, kanji",Free access can vary by feature.
300,Jisho,https://jisho.org/,Language Learning,Japanese dictionary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese dictionary, kanji, vocabulary, lookup",Free access can vary by feature.
301,Imabi,https://imabi.org/,Language Learning,Japanese grammar reference,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Japanese grammar, advanced, reference, particles",Free access can vary by feature.
302,Talk To Me In Korean,https://talktomeinkorean.com/,Language Learning,Korean lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Korean, grammar, vocabulary, listening, lessons",Free access can vary by feature.
303,HowtoStudyKorean,https://www.howtostudykorean.com/,Language Learning,Korean lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Korean, grammar, vocabulary, lessons, reading",Free access can vary by feature.
304,KoreanClass101 Free Resources,https://www.koreanclass101.com/korean-resources/,Language Learning,Korean resources,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Korean, vocabulary, phrases, audio, beginner",Free access can vary by feature.
305,GO Billy Korean,https://gobillykorean.com/,Language Learning,Korean lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Korean, grammar, vocabulary, Hangul, study tips",Free access can vary by feature.
306,Naver Dictionary Korean-English,https://en.dict.naver.com/,Language Learning,Korean dictionary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Korean dictionary, vocabulary, examples, language learning",Free access can vary by feature.
307,Chinese Reading Practice,https://chinesereadingpractice.com/,Language Learning,Chinese reading practice,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, Mandarin, reading practice, vocabulary, characters",Free access can vary by feature.
308,Mandarin Bean,https://mandarinbean.com/,Language Learning,Chinese graded reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, HSK, Mandarin, reading, vocabulary",Free access can vary by feature.
309,Du Chinese,https://duchinese.net/,Language Learning,Chinese graded reader,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, graded reader, Mandarin, HSK, audio",Free access can vary by feature.
310,The Chairman's Bao,https://www.thechairmansbao.com/,Language Learning,Chinese graded news,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, HSK, news, graded reading, Mandarin",Free access can vary by feature.
311,Chinese Boost,https://www.chineseboost.com/,Language Learning,Chinese grammar and reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, grammar, Mandarin, vocabulary, reading",Free access can vary by feature.
312,HSK Reading,https://hskreading.com/,Language Learning,Chinese reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese, HSK, reading, vocabulary, Mandarin",Free access can vary by feature.
313,MDBG Chinese Dictionary,https://www.mdbg.net/chinese/dictionary,Language Learning,Chinese dictionary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese dictionary, Mandarin, characters, vocabulary",Free access can vary by feature.
314,Chinese Grammar Wiki,https://resources.allsetlearning.com/chinese/grammar/,Language Learning,Chinese grammar reference,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Chinese grammar, Mandarin, HSK, reference",Free access can vary by feature.
315,TV5MONDE Apprendre le français,https://apprendre.tv5monde.com/,Language Learning,French learning,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","French, TV5MONDE, listening, reading, vocabulary",Free access can vary by feature.
316,RFI Savoirs,https://savoirs.rfi.fr/,Language Learning,French learning and news,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","French, news, listening, reading, vocabulary, RFI",Free access can vary by feature.
317,Lawless French,https://www.lawlessfrench.com/,Language Learning,French grammar and lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","French, grammar, vocabulary, lessons, quizzes",Free access can vary by feature.
318,1jour1actu,https://www.1jour1actu.com/,Language Learning,French news for kids,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","French, kids news, easy news, reading, current events",Free access can vary by feature.
319,Deutsche Welle Learn German,https://learngerman.dw.com/,Language Learning,German learning,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, DW, grammar, vocabulary, reading, listening",Free access can vary by feature.
320,Nachrichtenleicht,https://www.nachrichtenleicht.de/,Language Learning,Easy German news,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, easy news, current events, vocabulary",Free access can vary by feature.
321,Deutsch Perfekt Free Articles,https://www.deutsch-perfekt.com/deutsch-lesen,Language Learning,German reading,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","German, reading, vocabulary, articles",Free access can vary by feature.
322,StudySpanish.com,https://studyspanish.com/,Language Learning,Spanish grammar and vocabulary,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Spanish, grammar, vocabulary, pronunciation, lessons",Free access can vary by feature.
323,SpanishDict Grammar Guide,https://www.spanishdict.com/guide,Language Learning,Spanish reference,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Spanish, grammar, dictionary, conjugation, vocabulary",Free access can vary by feature.
324,News in Slow Spanish,https://www.newsinslowspanish.com/,Language Learning,Spanish news learning,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Spanish, news, listening, reading, intermediate",Free access can vary by feature.
325,Practica Espanol,https://www.practicaespanol.com/,Language Learning,Spanish news and exercises,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Spanish, news, vocabulary, exercises, reading",Free access can vary by feature.
326,OnlineItalianClub,https://onlineitalianclub.com/,Language Learning,Italian lessons,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Italian, grammar, reading, listening, vocabulary",Free access can vary by feature.
327,One World Italiano,https://oneworlditaliano.com/,Language Learning,Italian learning,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Italian, grammar, dialogues, vocabulary, lessons",Free access can vary by feature.
328,Al Jazeera Learning Arabic,https://learning.aljazeera.net/en,Language Learning,Arabic learning,"Language learners, teens, adults",Multilingual,Free / free tier / limited free content / paid extras optional,"Foreign-language reading, graded readers, vocabulary","Arabic, news, vocabulary, reading, grammar",Free access can vary by feature.
